estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
hash,operacoes_mistas,100,4,100,100,0.000282399938441813,2.82399938441813e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,4,100,100,5.709996912628412e-05,5.709996912628413e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,4,100,100,0.0010591000318527222,1.0591000318527222e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,4,100,100,0.00023399991914629936,2.3399991914629935e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,4,100,0,0.00023140001576393843,2.3140001576393843e-06,112,100,618,,,,0,8
avl,remocao,100,4,10,10,4.640000406652689e-05,4.640000406652689e-06,48,90,65,,,,11,8
avl,vendas,100,4,100,98,0.00033459998667240143,3.345999866724014e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,4,100,100,0.00029969995375722647,2.9969995375722645e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,4,100,100,1.98000343516469e-05,1.98000343516469e-07,864,100,0,,,,0,8
hash,insercao,100,5,100,100,0.00037750008050352335,3.7750008050352333e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,5,100,100,0.0002207000507041812,2.207000507041812e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,5,100,0,0.00020030001178383827,2.0030001178383827e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,5,10,10,3.700004890561104e-05,3.7000048905611037e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,5,100,98,0.0002308000111952424,2.308000111952424e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,5,100,100,0.0002615000121295452,2.615000121295452e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,5,100,100,5.200004670768976e-05,5.200004670768977e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,5,100,100,0.0013425999786704779,1.342599978670478e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,5,100,100,0.00048319995403289795,4.831999540328979e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,5,100,0,0.0003152000717818737,3.152000717818737e-06,112,100,618,,,,0,8
avl,remocao,100,5,10,10,6.0699996538460255e-05,6.069999653846026e-06,48,90,65,,,,11,8
avl,vendas,100,5,100,98,0.000332399969920516,3.32399969920516e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,5,100,100,0.0002764000091701746,2.764000091701746e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,5,100,100,1.8600025214254856e-05,1.8600025214254856e-07,864,100,0,,,,0,8
hash,insercao,100,6,100,100,0.000421099946834147,4.21099946834147e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,6,100,100,0.00024359999224543571,2.4359999224543574e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,6,100,0,0.00019040005281567574,1.9040005281567573e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,6,10,10,3.42000275850296e-05,3.42000275850296e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,6,100,98,0.00020570005290210247,2.0570005290210247e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,6,100,100,0.00021189998369663954,2.1189998369663953e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,6,100,100,4.1400082409381866e-05,4.1400082409381864e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,6,100,100,0.0013310000067576766,1.3310000067576766e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,6,100,100,0.0005116000538691878,5.116000538691878e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,6,100,0,0.0005009999731555581,5.009999731555581e-06,112,100,618,,,,0,8
avl,remocao,100,6,10,10,6.370001938194036e-05,6.370001938194037e-06,48,90,65,,,,11,8
avl,vendas,100,6,100,98,0.0004336999263614416,4.336999263614416e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,6,100,100,0.000453400076366961,4.53400076366961e-06,256,100,588,,,,0,8
